kraken_taxid	species_name	assembly_accession	ncbi_taxid
130370	JABJMC01 sp018659585	GCA_018659585.1	2030811
130371	JABJMC01 sp963980845	GCA_963980845.1	2576889
130372	JBAZZS01 sp041658685	GCA_041658685.1	2044595
130373	UBA12473 sp000993615	GCA_000993615.1	1619067
130374	CAIOIA01 sp903858295	GCA_903858295.1	2576889
130375	DATDOI01 sp035293325	GCA_035293325.1	2044595
130376	JADLFY01 sp020849575	GCA_020849575.1	2030811
130377	JADLFY01 sp963169815	GCA_963169815.1	2052139
130378	JADZCU01 sp020851415	GCA_020851415.1	2030811
130379	JAGOLJ01 sp017994125	GCA_017994125.1	2044595
130380	JAGQLQ01 sp020429235	GCA_020429235.1	2030811
130381	JAGQLQ01 sp937858825	GCA_937858825.1	2576889
130382	JAHJEW01 sp018825335	GCA_018825335.1	2052139
130383	JBAZYK01 sp041659405	GCA_041659405.1	2044595
130384	JBGSPQ01 sp041738505	GCA_041738505.1	2044595
130385	JTS-AC46 sp041752875	GCA_041752875.1	2044595
130386	KLAP129 sp963169655	GCA_963169655.1	2052139
130387	PALSA-1335 sp003153355	GCA_003153355.1	2030811
130388	UBA1369 sp002305925	GCA_002305925.1	1953307
130389	UBA1369 sp963677745	GCA_963677745.1	2044595
130390	WJJQ01 sp014729615	GCA_014729615.1	2030811
130391	WJLA01 sp014728765	GCA_014728765.1	2030811
130392	UM-FILTER-41-14 sp002788755	GCA_002788755.1	1974779
130393	21-14-0-20-46-8 sp002796025	GCA_002796025.1	1974793
130394	JACPMA01 sp016186205	GCA_016186205.1	2030811
130395	JACRID01 sp016220145	GCA_016220145.1	2030811
130397	JAGOUV01 sp018061065	GCA_018061065.1	2044595
130398	JAHFJU01 sp023245725	GCA_023245725.1	2030811
130399	JBAYHN01 sp038078575	GCA_964358095.1	2501586
130400	JBAYHN01 sp041666125	GCA_041666125.1	2044595
130401	JBBUCQ01 sp038057715	GCA_038057715.1	2052139
130402	UM-FILTER-53-11 sp002788775	GCA_002788775.1	1974780
130403	CALIGR01 sp938021445	GCA_938021445.1	363504
130404	DATDAE01 sp036525565	GCA_036525565.1	2044595
130405	JAACPJ01 sp009995455	GCA_009995455.1	1869227
130406	JAACPJ01 sp905478675	GCA_905478675.1	2044595
130407	JAACPJ01 sp947311285	GCA_947311285.1	77133
130408	JABAZT01 sp018608565	GCA_018608565.1	2044595
130409	JABGQW01 sp018648585	GCA_018648585.1	1869227
130410	JABGQW01 sp021734785	GCA_021734785.1	2044595
130411	JACKFV01 sp020632335	GCA_020632335.1	2053688
130412	JAGLIF01 sp023143095	GCA_023143095.1	2044595
130413	JAHDBZ01 sp020630245	GCA_020630245.1	2044595
130414	JAHDDZ01 sp020629095	GCA_020629095.1	2044595
130415	JAHDHX01 sp020631075	GCA_020631075.1	2044595
130416	JAIPGI01 sp021734395	GCA_021734395.1	2044595
130417	JAIPGI01 sp021736215	GCA_021736215.1	2044595
130418	JAIPGU01 sp021734525	GCA_021734525.1	2044595
130419	JAIPGU01 sp021735575	GCA_021735575.1	2044595
130420	JALVIB01 sp027028725	GCA_027028725.1	2044595
130421	JALWQU01 sp026982915	GCA_026982915.1	2044595
130422	JAUIFI01 sp030429505	GCA_030429505.1	1869227
130423	M50B91 sp018401175	GCA_018401175.1	2044595
130424	M50B91 sp963677105	GCA_963677105.1	2044595
130425	OLZORAL124-38-8 sp002747745	GCA_002747745.1	2044884
130426	UBA4473 sp002389285	GCA_002389285.1	1948817
130427	JACRIE01 sp016220165	GCA_016220165.1	2030811
130428	DAOWGG01 sp030637565	GCA_030637565.1	2030811
130429	FEN-1329 sp003154375	GCA_003154375.1	2030811
130430	FEN-1329 sp016220125	GCA_016220125.1	2030811
130431	GCA-016699515 sp016699515	GCA_016699515.1	2030811
130432	JAFGCR01 sp016932495	GCA_016932495.1	2030811
130433	JAFGCR01 sp018817125	GCA_018817125.1	2052139
130434	JAFGCT01 sp016932505	GCA_016932505.1	2030811
130435	JAFGCT01 sp030618315	GCA_030618315.1	2030811
130436	JAFGNE01 sp016927155	GCA_016927155.1	2030811
130437	JAFGTE01 sp016934215	GCA_016934215.1	2030811
130438	JAFGTE01 sp018825145	GCA_018825145.1	2052139
130439	JAFGTE01 sp029260955	GCA_029260955.1	2052139
130440	JAHIYT01 sp018814945	GCA_018814945.1	2052139
130441	JAHJBZ01 sp018813295	GCA_018813295.1	2052139
130442	JAJDCE01 sp029260985	GCA_029260985.1	2052139
130443	JAJDCE01 sp029934675	GCA_029934675.1	2044595
130444	JANQKP01 sp028281045	GCA_028281045.1	2044595
130445	JAUHWS01 sp030426875	GCA_030426875.1	1869227
130446	JAUHWS01 sp030427295	GCA_030427295.1	1869227
130447	UM-FILTER-43-11 sp002792495	GCA_002792495.1	1974776
130448	JABMPQ01 sp013202585	GCA_013202585.1	2026774
130449	JABMPQ01 sp018818965	GCA_018818965.1	2052139
130450	JBGTBM01 sp041749335	GCA_041749335.1	2052139
130451	JAGQLO01 sp020429185	GCA_020429185.1	2052150
130452	JAHIRA01 sp018818905	GCA_018818905.1	2052139
130453	JAHISJ01 sp018818205	GCA_018818205.1	2052139
130454	JAQVVF01 sp028699085	GCA_028699085.1	2052139
130455	JAQVVF01 sp041662665	GCA_041662665.1	2052139
130456	JAUWOX01 sp030611905	GCA_030611905.1	1869227
130457	JBFLZX01 sp040756075	GCA_040756075.1	2052139
130458	CAKZLR01 sp937127165	GCA_937127165.1	2576889
130459	CALITC01 sp938041505	GCA_938041505.1	2448465
130460	JAAUSE01 sp012031925	GCA_012031925.1	2044595
130461	JAAUSE01 sp938017575	GCA_938017575.1	2448465
130462	JACMQI01 sp014377045	GCA_014377045.1	2044938
130463	JACMRA01 sp014376695	GCA_014376695.1	2053589
130464	JAOZKL01 sp029935375	GCA_029935375.1	2052139
130465	JBBSJV01 sp038256935	GCA_038256935.1	2052139
130466	JBCDGH01 sp038751365	GCA_038751365.1	2052139
130467	JACPGU01 sp016188915	GCA_016188915.1	2093373
130468	JAKLDG01 sp022703645	GCA_022703645.1	2052139
130469	JAQULF01 sp028718745	GCA_028718745.1	2052139
130470	JBAYUK01 sp041675145	GCA_041675145.1	2052139
130471	JACQLU01 sp016203935	GCA_016203935.1	2026774
130472	Aalborg-AAW-1 sp001007975	GCA_001007975.1	1643353
130473	Absconditicoccus praedator	GCF_021057185.1	2735562
130474	CAJBLF01 sp019248075	GCA_019248075.1	2774120
130475	CAJBLF01 sp023245855	GCA_023245855.1	1869227
130476	CAJBLF01 sp026397395	GCA_026397395.1	2044938
130477	CAJBLF01 sp026397475	GCA_026397475.1	2044938
130478	CAJBLF01 sp026397515	GCA_026397515.1	2044938
130479	CAJBLF01 sp041663325	GCA_041663325.1	2927939
130480	CAJBLF01 sp041675025	GCA_041675025.1	2927939
130481	CAJBLF01 sp041679065	GCA_041679065.1	2927939
130482	CAJBLF01 sp903904875	GCA_903904875.1	77133
130483	CAJBLF01 sp903918675	GCA_903918675.1	77133
130484	CAJBLF01 sp903953935	GCA_903953935.1	77133
130485	CAJBLF01 sp937862935	GCA_937862935.1	77133
130486	CALMFT01 sp035333525	GCA_035333525.1	2927939
130487	CALMFT01 sp041674565	GCA_041674565.1	2927939
130488	CALMFT01 sp937862565	GCA_937862565.1	77133
130489	CALMTC01 sp937872535	GCA_937872535.1	77133
130490	HK-STAS-PATE-9 sp023898485	GCA_023898485.1	2053688
130491	HOT-345 sp003260355	GCA_003260355.1	1540874
130492	HOT-345 sp013333295	GCA_013333295.2	2044938
130493	HOT-345 sp013333605	GCA_013333605.2	2044938
130494	HOT-345 sp041831495	GCA_041831495.1	1869227
130495	HOT-345 sp916049765	GCA_916049765.1	77133
130496	HOT-345 sp946405785	GCA_946405785.1	77133
130497	HOT-345 sp946611795	GCA_946611795.1	77133
130498	HOT-345 sp947168815	GCA_947168815.1	77133
130499	HOT-345 sp963516485	GCA_963516485.1	77133
130500	HOT-345 sp963517005	GCA_963517005.1	77133
130501	HOT-345 sp963531535	GCA_963531535.1	77133
130502	HOT-345 sp963535415	GCA_963535415.1	77133
130503	HOT-345 sp963537415	GCA_963537415.1	77133
130504	HOT-345 sp963540355	GCA_963540355.1	77133
130505	HOT-345 sp963541585	GCA_963541585.1	77133
130506	HOT-345 sp963545225	GCA_963545225.1	77133
130507	HOT-345 sp963552955	GCA_963552955.1	77133
130508	JAGOPC01 sp017992195	GCA_017992195.1	2052139
130509	JAGOPC01 sp030429145	GCA_030429145.1	1869227
130510	JAHDCT01 sp020629735	GCA_020629735.1	1869227
130511	JAHDCT01 sp937923605	GCA_937923605.1	2927939
130512	JAHDCT01 sp937930555	GCA_937930555.1	2927939
130513	JAHDCT01 sp937958645	GCA_937958645.1	2927939
130514	JAHDCT01 sp937965925	GCA_937965925.1	2927939
130515	JAHDFY01 sp020627925	GCA_020627925.1	1869227
130516	JAHDGZ01 sp020631605	GCA_020631605.1	1869227
130517	JALOAF01 sp022705745	GCA_022705745.1	2052139
130518	JALOAF01 sp023228925	GCA_023228925.1	2927939
130519	JALOAF01 sp035269265	GCA_035269265.1	2927939
130520	JALOAF01 sp035446765	GCA_035446765.1	2927939
130521	JALOAF01 sp937906635	GCA_937906635.1	77133
130522	JALOAF01 sp947170225	GCA_947170225.1	77133
130523	JALTWR01 sp027046965	GCA_027046965.1	2044595
130524	JAMOTU01 sp027062165	GCA_027062165.1	2044595
130525	JANWWO01 sp025057375	GCA_025057375.1	2927939
130526	JAZHDC01 sp036541305	GCA_036541305.1	3018262
130527	JBBABP01 sp041657585	GCA_041657585.1	2927939
130528	JBBQVK01 sp038211735	GCA_038211735.1	2927939
130529	JBDHUW01 sp039809345	GCA_039809345.1	2927939
130530	JBDHUX01 sp039809405	GCA_039809405.1	2927939
130531	JBGTAD01 sp041750055	GCA_041750055.1	2927939
130532	PDOX01 sp002746475	GCA_002746475.1	2044938
130533	S009-33 sp015489035	GCA_015489035.1	2044595
130534	S009-33 sp027013285	GCA_027013285.1	2044595
130535	S009-33 sp041694255	GCA_041694255.1	2044595
130536	SKIU01 sp007116275	GCA_007116275.1	2044938
130537	SKJI01 sp007115995	GCA_007115995.1	2044938
130538	UBA3291 sp002361595	GCA_002361595.1	1948807
130539	UBA3291 sp025997135	GCA_025997135.1	2044938
130540	UBA3291 sp028685875	GCA_028685875.1	3018262
130541	UBA3291 sp031276875	GCA_031276875.1	2053688
130542	UBA3291 sp946404285	GCA_946404285.1	77133
130543	UBA3291 sp946408385	GCA_946408385.1	77133
130544	UBA3291 sp947168725	GCA_947168725.1	77133
130545	UBA3291 sp947169045	GCA_947169045.1	77133
130546	UBA5124 sp000503875	GCA_000503875.1	1394709
130547	UBA5124 sp002414185	GCA_002414185.1	1948824
130548	UBA5124 sp028693445	GCA_028693445.1	3018262
130549	UBA5124 sp037130715	GCA_037130715.1	3018262
130550	UBA6263 sp002441085	GCA_002441085.1	1948851
130551	UBA6263 sp021734475	GCA_021734475.1	2044595
130552	UBA6263 sp903943625	GCA_903943625.1	77133
130553	UM-FILTER-40-9 sp002791215	GCA_002791215.1	1974890
130554	Vampirococcus lugosii	GCF_018420025.1	2789015
130555	JAGOOR01 sp017992415	GCA_017992415.1	2044595
130556	JAGOOR01 sp023268615	GCA_023268615.1	2044595
130557	JAGOOR01 sp031973055	GCA_031973055.1	1869227
130558	JAGOOR01 sp041308705	GCA_041308705.1	2044595
130559	JAGOOR01 sp041660965	GCA_041660965.1	2044595
130560	JAGOOR01 sp937920005	GCA_937920005.1	363504
130561	JAGOOR01 sp937924685	GCA_937924685.1	363504
130562	CAIVSN01 sp028687815	GCA_028687815.1	2044595
130563	CAIVSN01 sp031539165	GCA_031539165.1	2052139
130564	CAIVSN01 sp036171455	GCA_036171455.1	2052139
130565	CAIVSN01 sp040383945	GCA_040383945.1	2053688
130566	CAIVSN01 sp903908595	GCA_903908595.1	77133
130567	GN02-873 sp002747975	GCA_002747975.1	2044595
130568	GN02-873 sp003260345	GCA_003260345.1	1914866
130569	GN02-873 sp013332525	GCA_013332525.2	2044595
130570	GN02-873 sp041779175	GCA_041779175.1	2044595
130571	GN02-873 sp938036655	GCA_938036655.1	363504
130572	JABFSX01 sp013268835	GCA_013268835.1	2044595
130573	JABFSX01 sp014377245	GCA_014377245.1	2044595
130574	JABFSX01 sp014377305	GCA_014377305.1	2044595
130575	JABFSX01 sp019746175	GCA_019746175.1	2044595
130576	JABFSX01 sp023260135	GCA_023260135.1	2044595
130577	JABFSX01 sp031407385	GCA_031407385.1	2044595
130578	JABFSX01 sp031410215	GCA_031410215.1	2044595
130579	JABFSX01 sp031417875	GCA_031417875.1	2044595
130580	JABFSX01 sp031539225	GCA_031539225.1	2052139
130581	JABFSX01 sp036170735	GCA_036170735.1	2052139
130583	JAGOMW01 sp031375155	GCA_031375155.1	2044595
130584	JAGOMW01 sp031386685	GCA_031386685.1	2044595
130585	JAGOMW01 sp036170175	GCA_036170175.1	2052139
130587	JALNXF01 sp023230505	GCA_023230505.1	2044595
130588	JANJWP01 sp024709505	GCA_024709505.1	2044595
130589	JANJWP01 sp030836665	GCA_030836665.1	2052139
130590	JANOQA01 sp031422145	GCA_031422145.1	1869227
130591	JANQGT01 sp028277205	GCA_028277205.1	2044595
130592	JAQUEK01 sp028685185	GCA_028685185.1	2044595
130593	SSGK01 sp008015855	GCA_008015855.1	2044595
130594	SSGK01 sp936941205	GCA_936941205.1	363504
130595	STC-113 sp028689205	GCA_028689205.1	2044595
130596	STC-74 sp028687475	GCA_028687475.1	2044595
130597	STC-74 sp031423995	GCA_031423995.1	2044595
130598	STD2-258 sp028691375	GCA_028691375.1	2044595
130599	UBA1545 sp001873165	GCA_001873165.1	1805211
130600	UBA1545 sp002771035	GCA_002771035.1	1974579
130601	UBA1545 sp003488655	GCA_003488655.1	2044595
130602	UBA1545 sp028689065	GCA_028689065.1	2044595
130603	UBA1545 sp028689245	GCA_028689245.1	2044595
130604	UBA1545 sp028713325	GCA_028713325.1	2044595
130605	UBA1545 sp028714815	GCA_028714815.1	2044595
130606	UBA1545 sp041660685	GCA_041660685.1	2044595
130607	UBA1545 sp943355085	GCA_943355085.1	2044595
130608	UBA2023 sp002335145	GCA_035437565.1	1869227
130609	UBA5532 sp002426885	GCA_002426885.1	1948831
130610	Altimarinus sp002412935	GCA_002412935.1	1948828
130611	Altimarinus sp010119095	GCA_010119095.1	2044595
130612	Altimarinus sp020724225	GCA_020724225.1	2883551
130613	Altimarinus sp024635475	GCA_024635475.1	1869227
130614	Altimarinus sp028692735	GCA_028692735.1	2044595
130615	Altimarinus sp028697205	GCA_028697205.1	2044595
130616	Altimarinus sp041659565	GCA_041659565.1	2044595
130617	CAJXJP01 sp034111025	GCA_034111025.1	2044595
130618	CAJXJP01 sp913055215	GCA_913055215.1	363504
130619	CAJXJP01 sp963926055	GCA_963926055.1	2448465
130620	CAJXJP01 sp964022365	GCA_964022365.1	363504
130621	CALDZK01 sp027066255	GCA_027066255.1	2044595
130622	CALDZK01 sp937944145	GCA_937944145.1	363504
130623	CALLBL01 sp937999345	GCA_937999345.1	363504
130624	CALLPO01 sp030950465	GCA_030950465.1	2044595
130625	CALLPO01 sp937944175	GCA_937944175.1	363504
130626	CALLPO01 sp938015605	GCA_938015605.1	363504
130627	GN02-872 sp002761215	GCA_002761215.1	1540872
130628	GN02-872 sp003260325	GCA_003260325.1	1912928
130629	GN02-872 sp963518665	GCA_963518665.1	363504
130630	HK-STAS-PATE-10 sp023898505	GCA_023898505.1	2053688
130631	JAACSU01 sp010119145	GCA_010119145.1	2044595
130632	JAACSU01 sp020629795	GCA_020629795.1	2044595
130633	JAACSU01 sp020631575	GCA_020631575.1	2044595
130634	JAACSU01 sp021129415	GCA_021129415.1	2044595
130635	JAACSU01 sp022565555	GCA_022565555.1	2044595
130636	JAACSU01 sp024635485	GCA_024635485.1	1869227
130637	JAACSU01 sp034112165	GCA_034112165.1	2044595
130638	JAACSU01 sp035905775	GCA_035905775.1	2044595
130639	JAACSU01 sp937931775	GCA_937931775.1	363504
130640	JAACSU01 sp938015455	GCA_938015455.1	363504
130641	JAAXWG01 sp013350285	GCA_013350285.1	2044595
130642	JAAZVM01 sp018623505	GCA_018623505.1	2052139
130643	JAAZVM01 sp041642635	GCA_041642635.1	1869227
130644	JAAZVM01 sp041694155	GCA_041694155.1	2044595
130645	JAAZVM01 sp963677765	GCA_963677765.1	2052139
130646	JABWCI01 sp013368515	GCA_013368515.1	2044595
130647	JABWCI01 sp028689115	GCA_028689115.1	2044595
130648	JABWCI01 sp028691535	GCA_028691535.1	2044595
130649	JABWCI01 sp028698305	GCA_028698305.1	2044595
130650	JABWCI01 sp937864295	GCA_937864295.1	363504
130651	JABWCI01 sp937864995	GCA_937864995.1	363504
130652	JAHDHC01 sp020631485	GCA_020631485.1	2044595
130653	JAKVBB01 sp022448215	GCA_022448215.1	2044595
130654	JALUWO01 sp027019405	GCA_027019405.1	2044595
130656	JAMONT01 sp027066455	GCA_027066455.1	2044595
130657	JAOARJ01 sp025210615	GCA_025210615.1	2044595
130658	JAQVGG01 sp028696815	GCA_028696815.1	2044595
130659	JAQVPN01 sp028702055	GCA_028702055.1	2044595
130660	JAQVPN01 sp028713225	GCA_028713225.1	2044595
130661	JAQVPN01 sp036170435	GCA_036170435.1	2052139
130662	JBBILU01 sp037444775	GCA_037444775.1	2044595
130663	MAAV01 sp004563595	GCA_004563595.2	1862133
130664	PDTW01 sp002749055	GCA_002749055.1	2044595
130665	UBA6164 sp002422305	GCA_002422305.1	1948845
130666	UBA6164 sp026988025	GCA_026988025.1	2044595
130667	UBA6164 sp027062145	GCA_027062145.1	2044595
130668	UBA6164 sp028688895	GCA_028688895.1	2044595
130669	UBA6164 sp030683605	GCA_030683605.1	2044595
130670	UBA6164 sp943356435	GCA_943356435.1	2044595
130671	UBA6164 sp963979005	GCA_963979005.1	363504
130672	UBA6489 sp002435385	GCA_002435385.1	1948853
130673	UBA6489 sp947311335	GCA_947311335.1	77133
130674	UBA7396 sp002470645	GCA_002470645.1	1948863
130675	UBA7396 sp019454605	GCA_019454605.1	2044595
130676	UBA7396 sp024710565	GCA_024710565.1	2044595
130677	UBA7396 sp028719245	GCA_028719245.1	2044595
130678	UBA7396 sp034675265	GCA_034675265.1	2052139
130679	UBA7396 sp034676185	GCA_034676185.1	2052139
130680	UBA7396 sp036172015	GCA_036172015.1	2052139
130681	CALKWM01 sp938004065	GCA_938004065.1	77133
130682	DAIREY01 sp036795335	GCA_036795335.1	2052139
130683	DAIRGB01 sp036794765	GCA_036794765.1	2052139
130684	JAHJAL01 sp018814055	GCA_018814055.1	2052139
130685	JBAZOB01 sp041648895	GCA_041648895.1	2052139
130686	JAQUNI01 sp028717685	GCA_028717685.1	2052139
130687	JAQUNI01 sp041644975	GCA_041644975.1	2052150
130688	JAUVWW01 sp030603885	GCA_030603885.1	1869227
130689	JAUYIX01 sp030688115	GCA_030688115.1	1869227
130690	B79-G16 sp003647645	GCA_003647645.1	2202143
130691	JAKLDB01 sp022703745	GCA_022703745.1	2052139
130692	JAKLDB01 sp041649135	GCA_041649135.1	2052139
130693	JAQUNP01 sp028717565	GCA_028717565.1	2052139
130694	JAWKSK01 sp041389145	GCA_041389145.1	2052139
130695	Kazan-3B-28 sp001029795	GCA_001029795.1	1620412
130696	Kazan-3B-28 sp001771185	GCA_001771185.1	1798536
130697	2-01-FULL-49-10 sp001771275	GCA_001771275.1	1798539
130698	2-01-FULL-49-10 sp016936175	GCA_016936175.1	2052139
130699	2-01-FULL-49-10 sp041652335	GCA_041652335.1	2052139
130700	JAHITC01 sp018817805	GCA_018817805.1	2052139
130701	JAYEGB01 sp034658875	GCA_034658875.1	2052139
130702	RBG-13-50-9 sp001772255	GCA_001772255.1	1798535
130703	UBA10110 sp003524745	GCA_003524745.1	2052139
130704	UBA10110 sp041659905	GCA_041659905.1	2052139
130705	0-14-0-10-38-17 sp002774085	GCA_002774085.1	1974884
130706	JAGPNC01 sp018052565	GCA_018052565.1	2053613
130707	JAQVFF01 sp028695445	GCA_028695445.1	2053613
130708	JAQVFF01 sp028697345	GCA_028697345.1	2053613
130709	01-FULL-39-12b sp001780955	GCA_001780955.1	1798388
130710	2-02-FULL-39-11 sp001779195	GCA_001779195.1	1798382
130711	2-02-FULL-39-14 sp001779055	GCA_001779055.1	1798371
130712	2-02-FULL-39-14 sp001779205	GCA_001779205.1	1798383
130713	2-02-FULL-40-10 sp001779115	GCA_001779115.1	1798376
130714	2-02-FULL-40-13 sp001779235	GCA_001779235.1	1798384
130715	CG1-02-37-22 sp002785215	GCA_002785215.1	1974574
130716	GWA2-43-14 sp000999095	GCA_000999095.1	1618443
130717	GWA2-43-14 sp001779315	GCA_001779315.1	1798391
130718	JACPKY01 sp016186795	GCA_016186795.1	2282145
130719	JACPZE01 sp016195685	GCA_016195685.1	2282145
130720	JACREK01 sp016218275	GCA_016218275.1	2282145
130721	JALHWS01 sp022866885	GCA_022866885.1	2093373
130722	JAMCUI01 sp023379265	GCA_023379265.1	2052139
130723	JACQJU01 sp016204905	GCA_016204905.1	2282145
130724	DATCJB01 sp036507455	GCA_036507455.1	2052139
130725	2-01-FULL-41-11 sp001776335	GCA_001776335.1	1797711
130726	2-01-FULL-41-11 sp030688205	GCA_030688205.1	2750075
130727	2-01-FULL-41-18-A sp001776475	GCA_001776475.1	1797727
130728	2-12-FULL-41-17 sp001774945	GCA_001774945.1	1797722
130729	DATIHT01 sp035480415	GCA_035480415.1	2973664
130730	GWA2-41-24 sp001775055	GCA_001775055.1	1797731
130731	GWC1-40-35 sp001775095	GCA_001775095.1	1797737
130732	JACPEV01 sp016183325	GCA_016183325.1	2750075
130733	JACPKK01 sp016187105	GCA_016187105.1	2750075
130734	JACPKK01 sp030647775	GCA_030647775.1	2750075
130735	JACPYZ01 sp016195765	GCA_016195765.1	2750075
130736	JACQIV01 sp016198325	GCA_016198325.1	2750075
130737	JAKAJD01 sp021813125	GCA_021813125.1	1869227
130738	JAKAJD01 sp021813945	GCA_021813945.1	1869227
130739	JANLHP01 sp024654445	GCA_024654445.1	2750075
130740	JBBQJY01 sp038326365	GCA_038326365.1	2750075
130741	JBBTUN01 sp038063735	GCA_038063735.1	2052139
130742	JBBTZR01 sp038078475	GCA_038078475.1	2052139
130743	LBZV01 sp000993855	GCA_964492425.1	86473
130744	MFBF01 sp001774865	GCA_001774865.1	1797716
130745	MFBN01 sp001776425	GCA_001776425.1	1797724
130746	MFBO01 sp001774995	GCA_001774995.1	1797725
130747	WO2-42-50 sp001776545	GCA_001776545.1	1797736
130748	WO2-FULL-40-11 sp001776505	GCA_001776505.1	1797732
130749	DATDVM01 sp035282885	GCA_035282885.1	2052139
130750	DATDVM01 sp035290005	GCA_035290005.1	2052139
130751	2-01-FULL-40-24 sp001776975	GCA_001776975.1	1797765
130752	2-01-FULL-43-38 sp000997105	GCA_000997105.1	1618425
130753	2-02-FULL-36-13 sp001777015	GCA_001777015.1	1797768
130754	2-02-FULL-38-15 sp001777055	GCA_001777055.1	1797770
130755	2-12-FULL-37-11 sp001776865	GCA_001776865.1	1797783
130756	CALRFD01 sp943356485	GCA_943356485.1	2052139
130757	DAHXOS01 sp027364775	GCA_027364775.1	1869227
130758	DAIDIY01 sp027451625	GCA_027451625.1	2053542
130759	GCA-016432425 sp016432425	GCA_016432425.1	2053542
130760	GWB1-36-5 sp001776785	GCA_001776785.1	1797778
130761	GWC1-40-9 sp000997385	GCA_000997385.1	1618419
130762	HO2-FULL-47-45 sp001776775	GCA_001776775.1	1797776
130763	JACOXD01 sp016176465	GCA_016176465.1	2053542
130764	JACOXG01 sp016176405	GCA_016176405.1	2053542
130765	JACOXI01 sp016176335	GCA_016176335.1	2053542
130766	JACOYE01 sp016182045	GCA_016182045.1	2093373
130767	JACPKL01 sp016187035	GCA_016187035.1	2053542
130768	JACPKM01 sp016187025	GCA_016187025.1	2053542
130769	JACPKO01 sp016186985	GCA_016186985.1	2053542
130770	JACPKO01 sp021731695	GCA_021731695.1	2053542
130771	JACPKO01 sp035289525	GCA_035289525.1	2052139
130772	JACPKP01 sp016186955	GCA_016186955.1	2053542
130773	JACPZA01 sp016195715	GCA_016195715.1	2053542
130774	JACQIX01 sp016198275	GCA_016198275.1	2053542
130775	JAJYIE01 sp021790255	GCA_021790255.1	1869227
130776	JAJYNN01 sp021786315	GCA_021786315.1	1869227
130777	JAMCSY01 sp023379125	GCA_023379125.1	2052139
130778	JAUSHL01 sp030648645	GCA_030648645.1	2053542
130779	JAUSJM01 sp030647265	GCA_030647265.1	1869227
130780	JAUSKZ01 sp030646805	GCA_030646805.1	2053542
130781	JAUYKM01 sp030699125	GCA_030699125.1	2053542
130782	JBBTSA01 sp038064895	GCA_038064895.1	2052139
130783	JBEPVZ01 sp041690695	GCA_041690695.1	2053542
130784	MFDM01 sp001776905	GCA_001776905.1	1797785
130785	STC-54 sp028687915	GCA_028687915.1	2053542
130786	STC-54 sp041659805	GCA_041659805.1	2461418
130787	UBA10151 sp001776635	GCA_001776635.1	1797762
130788	UBA10151 sp001776935	GCA_001776935.1	1797786
130789	UBA10151 sp001777455	GCA_001777455.1	1797798
130790	UBA10151 sp016176415	GCA_016176415.1	2053542
130791	UBA10151 sp016183245	GCA_016183245.1	2053542
130792	UBA10151 sp016183265	GCA_016183265.1	2053542
130793	UBA10151 sp016183305	GCA_016183305.1	2053542
130794	UBA10151 sp016184225	GCA_016184225.1	2053542
130795	UBA10151 sp018816815	GCA_018816815.1	2052139
130796	UBA10151 sp018817205	GCA_018817205.1	2052139
130797	UBA10151 sp021786105	GCA_021786105.1	1869227
130798	UBA10151 sp028712705	GCA_028712705.1	2053542
130799	UBA10151 sp028715175	GCA_028715175.1	2053542
130800	UBA10151 sp030648435	GCA_030648435.1	2053542
130801	UBA9644 sp003519445	GCA_003519445.1	2053542
130802	UBA9644 sp016183225	GCA_016183225.1	2053542
130803	UBA9644 sp016192235	GCA_964625535.1	86473
130804	VMGD01 sp007376405	GCA_007376405.1	2017209
130805	2-01-FULL-40-14 sp001788215	GCA_001788215.1	1802064
130806	DATEBW01 sp035287165	GCA_035287165.1	2052139
130807	JACQMD01 sp016203755	GCA_016203755.1	2282149
130808	GCA-00278855 sp002788855	GCA_002788855.1	1974838
130809	01-FULL-48-32b sp001773725	GCA_001773725.1	1797261
130810	DAHWUD01 sp027331445	GCA_027331445.1	1932011
130811	DAHXMV01 sp027371535	GCA_027371535.1	1932011
130812	GWC1-47-15 sp001001375	GCA_001001375.1	1618364
130813	GWC2-45-19 sp001001555	GCA_001001555.1	1618366
130814	GWC2-45-19 sp001002405	GCA_001002405.1	1618354
130815	JACRNA01 sp016219445	GCA_016219445.1	1932011
130816	JACRNA01 sp030681075	GCA_030681075.1	1932011
130817	JAUSIY01 sp030647735	GCA_030647735.1	1869227
130818	JBBUDC01 sp038057495	GCA_038057495.1	2052139
130819	UBA12042 sp001002325	GCA_001002325.1	1618360
130820	UBA12042 sp001775555	GCA_001775555.1	1797250
130821	VMGA01 sp007376345	GCA_007376345.1	2017210
130822	WO2-48-25 sp001773695	GCA_001773695.1	1797259
130824	GWA2-44-7 sp000999595	GCA_000999595.1	1618500
130825	JACQJR01 sp016204995	GCA_016204995.1	2093373
130826	01-FULL-43-15b sp001816385	GCA_001816385.1	1797513
130827	2-12-FULL-44-25 sp001816455	GCA_001816455.1	1797518
130828	2-12-FULL-44-25 sp038062025	GCA_038062025.1	2052139
130829	GCA-2686465 sp002686465	GCA_002686465.1	2026804
130830	JACPEJ01 sp016183565	GCA_016183565.1	2053523
130831	UBA10165 sp001816475	GCA_001816475.1	1797519
130832	VMGE01 sp007376395	GCA_007376395.1	2017208
130833	01-FULL-44-24b sp001793235	GCA_001793235.1	1802526
